country,isocode,entropy,exponent_entropy
Andorra,AND,1.378014544,3.967017464
United Arab Emirates,ARE,2.218360145,9.192244549
Afghanistan,AFG,2.052830092,7.789916122
Antigua and Barbuda,ATG,0.128970728,1.137656822
Anguilla,AIA,0.266602225,1.305521039
Albania,ALB,0.541413884,1.718434812
Armenia,ARM,0.901095619,2.462299375
Angola,AGO,2.493659883,12.10549986
Argentina,ARG,0.632447199,1.882211093
American Samoa,ASM,0.584865093,1.794748846
Austria,AUT,1.047497899,2.850509925
Australia,AUS,1.239295642,3.453180332
Aruba,ABW,0.736385486,2.088373401
Azerbaijan,AZE,0.868508759,2.383354047
Bosnia and Herzegovina,BIH,1.104417679,3.017466824
Barbados,BRB,0.7470541,2.110772724
Bangladesh,BGD,0.572209528,1.772178406
Belgium,BEL,2.187993122,8.917299212
Burkina Faso,BFA,2.452697621,11.61964989
Bulgaria,BGR,0.59841257,1.819228608
Bahrain,BHR,1.751071945,5.760774599
Burundi,BDI,0.079865931,1.083141843
Benin,BEN,3.261102206,26.07826492
Bermuda,BMU,0.234273661,1.26399035
Brunei,BRN,1.926823348,6.86765939
Bolivia,BOL,1.25358579,3.502881061
Brazil,BRA,0.214633443,1.2394075
Bahamas,BHS,0.880438442,2.411956977
Bhutan,BTN,2.223980266,9.244051526
Botswana,BWA,1.318190523,3.736653868
Belarus,BLR,0.907881685,2.479065526
Belize,BLZ,1.442054696,4.229376979
Canada,CAN,2.131775639,8.429821851
Cocos Islands,CCK,0.636514168,1.889881575
"Congo, Democratic Republic Of",COD,2.443569404,11.51406583
Central African Republic,CAF,3.583716564,36.00711521
Congo,COG,3.862535853,47.58586925
Switzerland,CHE,1.747769428,5.741780927
Côte D'Ivoire,CIV,3.265640456,26.19688358
Cook Islands,COK,0.73701174,2.089681664
Chile,CHL,0.195944532,1.216459429
Cameroon,CMR,3.981443316,53.59433201
China,CHN,1.521646189,4.579758142
Colombia,COL,0.111834984,1.118328304
Costa Rica,CRI,0.226848286,1.254639507
Cuba,CUB,0.121422139,1.129101449
Cabo Verde,CPV,0.811972618,2.252346626
Curacao,CUW,1.142057609,3.133208657
Christmas Island,CXR,1.057905425,2.880331595
Cyprus,CYP,1.239996707,3.455602086
Czechia,CZE,0.287337497,1.332873979
Germany,DEU,1.597584194,4.941081299
Djibouti,DJI,1.255108332,3.508218406
Denmark,DNK,0.877303593,2.404407696
Dominica,DMA,0.665694506,1.94584145
Dominican Republic,DOM,0.349640156,1.418556997
Algeria,DZA,0.8224115,2.275981755
Ecuador,ECU,0.439831057,1.552444921
Estonia,EST,1.07636561,2.933996863
Egypt,EGY,1.135002545,3.111181461
Eritrea,ERI,1.653915965,5.227410154
Spain,ESP,1.365507231,3.917709733
Ethiopia,ETH,2.508391101,12.28514858
Finland,FIN,0.662566327,1.93976402
Fiji,FJI,2.054570926,7.803488877
Falkland Islands,FLK,0,1
Micronesia,FSM,2.113844245,8.280010569
Faroe Islands,FRO,0.128923913,1.137603564
France,FRA,1.089458513,2.972663976
Gabon,GAB,2.413634266,11.17449853
United Kingdom,GBR,0.986732168,2.682454323
Grenada,GRD,0.420684803,1.523004156
Georgia,GEO,0.971284672,2.64133553
French Guiana,GUF,1.943866101,6.985706279
Ghana,GHA,2.875788281,17.73940225
Gibraltar,GIB,0.38701978,1.472585618
Greenland,GRL,0.619327523,1.857678376
Gambia,GMB,1.901975639,6.699116412
Guinea,GIN,1.975849515,7.212744385
Guadeloupe,GLP,0.283439399,1.327688418
Equatorial Guinea,GNQ,1.492843622,4.449730897
Greece,GRC,0.930043855,2.534620332
Guatemala,GTM,1.25519841,3.508534434
Guam,GUM,1.80982164,6.109357669
Guinea-Bissau,GNB,2.319075033,10.1662665
Guyana,GUY,1.256313676,3.512449564
"China, Hong Kong",HKG,0.672079092,1.958304587
Honduras,HND,0.18678946,1.20537348
Croatia,HRV,0.49164835,1.635009068
Haiti,HTI,0.065570857,1.067768393
Hungary,HUN,0.320469221,1.377774094
Indonesia,IDN,2.879374969,17.80314218
Ireland,IRL,0.706345829,2.02657227
Israel,ISR,1.550193511,4.712381991
Isle of Man,IMN,0.096872877,1.101720311
India,IND,2.468420873,11.80379244
British Indian Ocean Territory,IOT,0.244930027,1.277531917
Iraq,IRQ,1.752594235,5.76955085
Iran,IRN,1.928888731,6.881858395
Iceland,ISL,0.357311722,1.429481401
Italy,ITA,1.800478416,6.052542403
Jersey,JEY,0,1
Jamaica,JAM,0.426048252,1.531194656
Jordan,JOR,1.221066898,3.390803445
Japan,JPN,0.218965472,1.244788296
Kenya,KEN,3.116153804,22.55944451
Kyrgyzstan,KGZ,1.093586312,2.984959898
Cambodia,KHM,0.565276737,1.759934754
Kiribati,KIR,0.165017737,1.179414037
Comoros,COM,1.058589066,2.882301382
Saint Kitts and Nevis,KNA,0.220525293,1.246731458
"Korea, North",PRK,0.044768275,1.045785497
"Korea, South",KOR,0.226403728,1.254081871
Kuwait,KWT,1.821461451,6.18088491
Cayman Islands,CYM,0.504083285,1.655467234
Kazakhstan,KAZ,1.259946977,3.525234565
Laos,LAO,2.390417558,10.91805191
Lebanon,LBN,0.786155417,2.194941548
Saint Lucia,LCA,0.249661276,1.28359056
Liechtenstein,LIE,0.882640045,2.417272999
Sri Lanka,LKA,0.609105789,1.8387864
Liberia,LBR,2.999595538,20.07741473
Lesotho,LSO,0.561608018,1.753489878
Lithuania,LTU,0.932469652,2.540776269
Luxembourg,LUX,1.509600311,4.52492187
Latvia,LVA,1.300509276,3.67116583
Libya,LBY,1.618624288,5.046143501
Morocco,MAR,1.065173974,2.901343699
Monaco,MCO,1.726355257,5.620132594
Moldova,MDA,0.766536874,2.152299647
Montenegro,MNE,1.178229898,3.248618723
Madagascar,MDG,2.140991236,8.507866755
Marshall Islands,MHL,0.32716306,1.387027627
North Macedonia,MKD,1.119589491,3.063596311
Mali,MLI,2.74249557,15.52568222
Myanmar,MMR,1.986345316,7.288846591
Mongolia,MNG,0.949742286,2.585043372
"China, Macau",MAC,0.712801733,2.03969795
Northern Mariana Islands,MNP,1.677817035,5.353855924
Martinique,MTQ,0.278059333,1.320564548
Mauritania,MRT,0.703470629,2.020753837
Montserrat,MSR,0.121692403,1.129406646
Malta,MLT,0.19557572,1.216010866
Mauritius,MUS,0.963782799,2.621594706
Maldives,MDV,0.173240832,1.189152456
Malawi,MWI,1.488478026,4.430347512
Mexico,MEX,0.525678507,1.691606226
Malaysia,MYS,2.470512441,11.82850671
Mozambique,MOZ,2.957176642,19.24356352
Namibia,NAM,1.799023485,6.043742775
New Caledonia,NCL,2.057647768,7.827535959
Niger,NER,1.49705418,4.468506246
Norfolk Island,NFK,0.465999257,1.593605815
Nigeria,NGA,3.085596153,21.88050708
Nicaragua,NIC,0.168490924,1.183517485
Netherlands,NLD,1.712535703,5.542999073
Norway,NOR,1.002494293,2.725070482
Nepal,NPL,1.861401859,6.432748261
Nauru,NRU,1.365600618,3.91807561
Niue,NIU,0,1
New Zealand,NZL,1.303953375,3.683831487
Oman,OMN,2.08851275,8.07289981
Panama,PAN,0.996486819,2.708748767
Peru,PER,0.974152781,2.648922042
French Polynesia,PYF,0.913741289,2.49363451
Papua New Guinea,PNG,4.575660053,97.09210388
Philippines,PHL,2.353348823,10.5207429
Pakistan,PAK,2.090234527,8.086811516
Poland,POL,0.183046857,1.200870676
Saint Pierre and Miquelon,SPM,0.201003011,1.222628453
Pitcairn,PCN,0,1
Puerto Rico,PRI,0.152495071,1.164736721
Palestine,PSE,0.391346177,1.478970411
Portugal,PRT,0.353719389,1.424355441
Palau,PLW,1.175803383,3.240745459
Paraguay,PRY,0.595514936,1.813964781
Qatar,QAT,1.972045466,7.185358877
Reunion,REU,1.354904399,3.876390351
Romania,ROU,0.643259883,1.902673272
Serbia,SRB,0.789957093,2.203301887
Russian Federation,RUS,0.938771627,2.556838738
Rwanda,RWA,0.319405803,1.376309723
Saudi Arabia,SAU,1.777201502,5.913284924
Solomon Islands,SLB,3.745111727,42.31373456
Seychelles,SYC,0.295187391,1.343378072
Sudan,SDN,1.052345815,2.864362508
Sweden,SWE,0.823333132,2.278080339
Singapore,SGP,2.335620445,10.33587078
Saint Helena,SHN,0,1
Slovenia,SVN,0.696677154,2.007072421
Svalbard and Jan Mayen,SJM,0.678209394,1.970346457
Slovakia,SVK,0.626946712,1.871886436
Sierra Leone,SLE,2.118489645,8.318564009
San Marino,SMR,0,1
Senegal,SEN,1.305243629,3.688587632
Somalia,SOM,0.850583885,2.341013336
Suriname,SUR,1.993003943,7.337542247
South Sudan,SSD,2.935235229,18.82593101
Sao Tome and Principe,STP,1.013099711,2.75412479
El Salvador,SLV,0.05293783,1.054364093
Sint Maarten,SXM,1.619535671,5.050744567
Syria,SYR,1.072120279,2.921567475
Eswatini,SWZ,0.600611713,1.823233755
Turks and Caicos Islands,TCA,0.668001111,1.950334918
Chad,TCD,3.55985636,35.15814667
Togo,TGO,2.900727387,18.18736981
Thailand,THA,1.650062746,5.207306555
Tajikistan,TJK,0.68819362,1.990117376
Tokelau,TKL,0,1
Timor-Leste,TLS,2.242702182,9.418748102
Turkmenistan,TKM,1.174971107,3.238049387
Tunisia,TUN,0.335277772,1.398328748
Tonga,TON,0.080628061,1.083967652
Turkey,TUR,1.000658343,2.720071978
Trinidad and Tobago,TTO,0.323880066,1.382481491
Tuvalu,TUV,0.055546075,1.057117723
Taiwan,TWN,1.147352689,3.149843247
Tanzania,TZA,3.813498834,45.30868944
Ukraine,UKR,0.840030247,2.316437041
Uganda,UGA,3.026711225,20.62927585
United States,USA,1.270026639,3.56094742
Uruguay,URY,0.525999792,1.6921498
Uzbekistan,UZB,1.177885317,3.247499505
Vatican,VAT,0,1
St Vincent and Grenadines,VCT,0.564195293,1.758032513
Venezuela,VEN,0.258482177,1.29496307
British Virgin Islands,VGB,0.411067177,1.508426685
Virgin Islands (U.S.),VIR,1.048226263,2.852586888
Vietnam,VNM,1.035472513,2.816436725
Vanuatu,VUT,3.995188968,54.33610744
Wallis and Futuna,WLF,0.687489865,1.988717314
Western Sahara,ESH,0.083610427,1.087205266
Samoa,WSM,0.415662987,1.515375082
Kosovo,XKX,0.393955777,1.482834971
Yemen,YEM,1.3641156,3.912261516
Mayotte,MYT,0.896110958,2.450056187
South Africa,ZAF,2.313812951,10.11291127
Zambia,ZMB,2.537490396,12.64788991
Zimbabwe,ZWE,1.710835857,5.533584832
